"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.810651590E-1,8.002334833E-1,-1.090089083E0,7.408268452E-1
4.831663040E-1,8.147414923E-1,-1.111927509E0,7.357872128E-1
4.852645210E-1,8.304712772E-1,-1.115439892E0,7.197519541E-1
4.873631840E-1,8.411614299E-1,-1.110553026E0,6.927211881E-1
4.894571980E-1,8.457429409E-1,-1.110400319E0,6.524040699E-1
4.915682920E-1,8.416196108E-1,-1.117425203E0,6.059783101E-1
4.936689190E-1,8.303185701E-1,-1.102764487E0,5.633704662E-1
4.957717840E-1,8.118399382E-1,-1.056491494E0,5.245805383E-1
4.978673550E-1,7.835873961E-1,-9.834930301E-1,4.922046661E-1
4.999588150E-1,7.495316267E-1,-8.827002645E-1,4.671591818E-1
5.020583950E-1,7.057020664E-1,-7.551821470E-1,4.509712756E-1
5.041616570E-1,6.571382880E-1,-5.997169614E-1,4.422664344E-1
5.062745310E-1,5.989533663E-1,-4.311181605E-1,4.410447180E-1
5.083728490E-1,5.419901609E-1,-2.429716438E-1,4.436408877E-1
5.104677570E-1,4.776966274E-1,-3.543018550E-2,4.486805201E-1
5.125715580E-1,4.111123085E-1,1.829541475E-1,4.660901725E-1
5.146619310E-1,3.385720551E-1,4.219551682E-1,4.934264123E-1
5.167677150E-1,2.600758672E-1,6.791294217E-1,5.331326723E-1
5.188740900E-1,1.768454909E-1,9.266825914E-1,5.739079118E-1
5.209726810E-1,8.735372871E-2,1.165683627E0,6.099489331E-1
5.230707760E-1,-4.581489135E-3,1.381624460E0,6.409503818E-1
5.251772210E-1,-9.789115191E-2,1.575726867E0,6.646214128E-1
5.272781940E-1,-1.899790913E-1,1.746769190E0,6.820310354E-1
5.293798970E-1,-2.761110961E-1,1.892460585E0,6.895141602E-1
5.314767200E-1,-3.526219726E-1,2.012648344E0,6.944010854E-1
5.335705210E-1,-4.095851481E-1,2.115884542E0,6.977608204E-1
5.356794900E-1,-4.569272101E-1,2.202016592E0,6.936374903E-1
5.377768810E-1,-4.836525619E-1,2.274862289E0,6.905831695E-1
5.398702440E-1,-4.934264123E-1,2.321135283E0,6.797403097E-1
5.419779820E-1,-4.838052690E-1,2.344195366E0,6.699664593E-1
5.440687520E-1,-4.572326243E-1,2.344195366E0,6.563746929E-1
5.461840270E-1,-4.147774875E-1,2.313957453E0,6.388123035E-1
5.482820400E-1,-3.628539443E-1,2.262950182E0,6.148358583E-1
5.503882910E-1,-2.962696552E-1,2.182926893E0,5.845980644E-1
5.524817250E-1,-2.102903575E-1,2.076178312E0,5.491678715E-1
5.545749160E-1,-9.789115191E-2,1.878563404E0,4.984660447E-1
5.566849430E-1,6.429356337E-2,1.524261475E0,4.393648207E-1
5.587856400E-1,2.883284092E-1,9.636399150E-1,3.811798990E-1
5.608886870E-1,5.583308339E-1,2.344195396E-1,3.281873465E-1
